"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","10344707","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",1.14563901711968,8.44457547709477,10.8236308820763,1.14557779735242e-08,2.73977724861617e-08,9.77841880634142
"2","10344725","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",4.0231015120275,8.63152521903759,33.1980483813528,6.38359878014157e-16,1.04505689707156e-13,26.8721878644285
"3","10344837","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-1.51738739113382,7.80449922309202,-15.9254020731285,4.43086772641891e-11,2.51270877470041e-10,15.5687017671663
"4","10344879","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",0.944682353161285,3.98711218448705,4.15142052394841,0.000785732203326823,0.000867433311264657,-1.76835863038478
"5","10344897","Sulf1","240725","sulfatase 1",-1.72628649129688,7.21303995317427,-11.3357778177256,6.00621752948211e-09,1.55490135173067e-08,10.4530651929432
"6","10344939","Terf1","21749","telomeric repeat binding factor 1",-1.03763610051719,6.5427299904987,-7.14217330290424,2.66836652875206e-06,3.75123549402125e-06,4.08846655370164
"7","10344960","Tmem70","70397","transmembrane protein 70",1.6691738092805,7.06167241796585,12.8592948621547,1.00178628004022e-09,3.41441596454271e-09,12.3229523143599
"8","10344966","Ly96","17087","lymphocyte antigen 96",-0.956311108449887,6.35274319793417,-6.38488284934983,1.00818738987118e-05,1.31395762804218e-05,2.70715002232477
"9","10344981","Pi15","94227","peptidase inhibitor 15",-4.09279160798221,5.86043076687328,-30.8923111782783,1.93606963259745e-15,2.00521497661878e-13,25.7836008698975
"10","10344990","Crispld1","83691","cysteine-rich secretory protein LCCL domain containing 1",-0.93254635760151,5.05742901072831,-6.84752455692657,4.43430260227821e-06,6.06252308905225e-06,3.56016169688544
"11","10345058","Tmem14a","75712","transmembrane protein 14A",0.888357214724178,5.10200925192294,5.09119042908495,0.000116903649593137,0.000137144249118163,0.176197024800856
"12","10345065","Gsta3","14859","glutathione S-transferase, alpha 3",3.21280853570749,7.95384009302368,23.9152197032983,9.79104305945652e-14,2.38892036186259e-12,21.8541759013949
"13","10345074","Cetn4","207175","centrin 4",-0.315409771924978,4.67791086371588,-0.597586762381149,0.55867228019826,0.561994414669211,-7.74942715521662
"14","10345203","Paox","212503","polyamine oxidase (exo-N4-amino)",1.50290498987247,7.70725847358764,18.8814394580805,3.50350227461829e-12,3.27033615280249e-11,18.1936354831792
"15","10345241","Dst","13518","dystonin",0.650020445923271,8.3414211105222,5.37061092026499,6.75934624215672e-05,8.10387011078322e-05,0.739696489227392
"16","10345387","Prss39","21755","protease, serine 39",-0.962867291224142,4.57722435373079,-1.70043758769714,0.108849506507084,0.112622068404374,-6.52755913917169
"17","10345580","Inpp4a","269180","inositol polyphosphate-4-phosphatase, type I",-1.34751249087599,7.18136252230516,-12.8384320850188,1.02541622395858e-09,3.48150812379712e-09,12.2986307319066
"18","10345616","Lipt1","623661","lipoyltransferase 1",0.949479908804226,4.63275383674723,5.66260590170276,3.85368452240951e-05,4.73431347161178e-05,1.31918947601797
"19","10345620","Mrpl30","107734","mitochondrial ribosomal protein L30",1.62265803060774,7.35131770309643,18.0817227103629,6.70227977497505e-12,5.49500320807728e-11,17.5243908780645
"20","10345777","Il1rl2","107527","interleukin 1 receptor-like 2",-3.47275416814082,5.64181685632526,-24.4534712744586,6.97286644753564e-14,1.8335387161266e-12,22.1982310432048
"21","10345791","Il1rl1","17082","interleukin 1 receptor-like 1",-2.41458413787602,5.66514686608611,-15.5645969103465,6.214181397022e-11,3.29282988218157e-10,15.217519117668
"22","10345807","Il18r1","16182","interleukin 18 receptor 1",-1.0240313557889,3.61936007824568,-6.55282350402678,7.4572484211336e-06,9.90980249731685e-06,3.02010739623206
"23","10345824","Il18rap","16174","interleukin 18 receptor accessory protein",-1.21278617918321,4.54899271582129,-5.78686336825785,3.04444859230758e-05,3.77580073459457e-05,1.5626921459576
"24","10345882","Mrps9","69527","mitochondrial ribosomal protein S9",0.746096814674001,6.01679411406339,6.66519641868887,6.10783604396306e-06,8.18950275379459e-06,3.22741024181689
"25","10346015","Col3a1","12825","collagen, type III, alpha 1",-2.36951338239337,10.891653575885,-18.7850318640025,3.78335430199791e-12,3.45955370858368e-11,18.1144254911828
"26","10346150","Tmeff2","56363","transmembrane protein with EGF-like and two follistatin-like domains 2",-2.75066268100557,6.22112450777419,-21.6837057513813,4.34074728647816e-13,6.73678669078797e-12,20.3374757188636
"27","10346168","Stat4","20849","signal transducer and activator of transcription 4",-2.39289491719479,4.80757254976257,-6.38131244120379,1.01471431050413e-05,1.3221245509136e-05,2.70045581672855
"28","10346235","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",3.87132584098055,7.68567948884464,18.0117194828254,7.10269862076965e-12,5.7545203288062e-11,17.46445811089
"29","10346260","Osgepl1","72085","O-sialoglycoprotein endopeptidase-like 1",1.67892081883428,5.38755667631947,12.7511510736823,1.13086088100055e-09,3.76582609650775e-09,12.1965129484369
"30","10346330","Plcl1","227120","phospholipase C-like 1",-0.854199595080098,6.15705436306575,-4.29326127091868,0.000586326617880989,0.000653682685262195,-1.47144570581559
"31","10346340","Maip1","68115","matrix AAA peptidase interacting protein 1",1.15463746558618,5.70290771432826,5.19145576204262,9.59340518362484e-05,0.000113303540393056,0.379353139498986
"32","10346348","Spats2l","67198","spermatogenesis associated, serine-rich 2-like",-0.899236540493832,5.87502636972718,-9.65879424290858,5.45863684228713e-08,1.08255498142271e-07,8.14681304880887
"33","10346365","Sgo2a","68549","shugoshin 2A",-0.320365354794959,4.88568966108564,-1.14824465884084,0.268132913935012,0.272919081071037,-7.26451777196936
"34","10346374","Aox1","11761","aldehyde oxidase 1",2.36012158288333,7.9440050279229,20.1256603504883,1.34073629302078e-12,1.58977492688796e-11,19.1818996823833
"35","10346410","Aox3","71724","aldehyde oxidase 3",-2.90267898026267,5.20188227978631,-17.8183272230137,8.34663394647722e-12,6.47841882378107e-11,17.2977195027615
"36","10346544","Ndufb3","66495","NADH:ubiquinone oxidoreductase subunit B3",1.98158836149091,6.54806267243172,21.7103429732333,4.26070083545263e-13,6.6737829444204e-12,20.3565005944729
"37","10346576","Stradb","227154","STE20-related kinase adaptor beta",1.70732225325537,6.62408747278426,18.0701260566471,6.7669212972159e-12,5.52614500136931e-11,17.5144778843529
"38","10346634","Nop58","55989","NOP58 ribonucleoprotein",-1.42978133831828,7.83469029787912,-14.4957321059097,1.76566054045927e-10,7.77166282986194e-10,14.1317788876702
"39","10346668","Fam117b","72750","family with sequence similarity 117, member B",-1.0011612389582,7.18440575528362,-9.74743097118834,4.82388263278299e-08,9.72247988934617e-08,8.27599511971559
"40","10346783","Cd28","12487","CD28 antigen",-0.81858283489137,4.59018026097163,-5.29214235931427,7.87580284100198e-05,9.38476154451398e-05,0.582299704386176
"41","10346790","Ctla4","12477","cytotoxic T-lymphocyte-associated protein 4",-0.683556436518374,4.02972563311103,-3.03385189331524,0.00806540703866888,0.00855600767584543,-4.09286717168114
"42","10346799","Icos","54167","inducible T cell co-stimulator",-1.62483207579425,4.77984455688846,-9.57964296520528,6.10002617971602e-08,1.19067818700226e-07,8.03072401182501
"43","10346843","Nrp2","18187","neuropilin 2",-2.12486005091241,7.61621435265966,-20.3137370406732,1.16513906031238e-12,1.41461261509219e-11,19.3260333006694
"44","10346876","Snora41","100217464","small nucleolar RNA, H/ACA box 41",-0.673233749674947,5.25948759575325,-3.94591248505409,0.0012035840985433,0.00131727179213009,-2.19937482208643
"45","10346882","Adam23","23792","a disintegrin and metallopeptidase domain 23",-0.882638740032649,7.37845631915913,-5.12531335242962,0.000109282357789823,0.000128589836722317,0.245452118081009
"46","10346943","Creb1","12912","cAMP responsive element binding protein 1",-0.838894839850949,7.89601942996228,-10.6742390384741,1.38924536840327e-08,3.24904158739474e-08,9.57689345826867
"47","10346960","Ccnyl1","227210","cyclin Y-like 1",-1.37794156462939,7.43172368926484,-9.87427484896891,4.04751586505913e-08,8.32636522706731e-08,8.45937180388129
"48","10347106","Rpe","66646","ribulose-5-phosphate-3-epimerase",1.77835752257091,7.8208565346941,16.3181442352976,3.08975157258208e-11,1.85654568927883e-10,15.9427113440806
"49","10347282","Rufy4","435626","RUN and FYVE domain containing 4",0.616702829491724,4.39349073487835,4.293161750961,0.000586446751920941,0.000653682685262195,-1.47165377255474
"50","10347297","Arpc2","76709","actin related protein 2/3 complex, subunit 2",-0.84484088235657,9.74612843731892,-6.09178942329424,1.72237710200379e-05,2.18909686768576e-05,2.15202997497397
"51","10347335","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-2.17545805067121,7.35938429911183,-13.5043234262134,4.94716244093973e-10,1.86260041078523e-09,13.0586905253603
"52","10347417","Bcs1l","66821","BCS1-like (yeast)",1.37589238554242,6.53831957589562,11.40683069626,5.5016499828108e-09,1.4504349954683e-08,10.5447315299546
"53","10347481","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",-0.903766460173707,8.23171367211525,-5.69852931153,3.59906260355498e-05,4.43438764579789e-05,1.389782002412
"54","10347552","Stk16","20872","serine/threonine kinase 16",1.05601040136109,7.0069199034764,8.11284819841749,5.43086099851074e-07,8.64813918024538e-07,5.74748736617439
